"Stock Code","Description","Unit"
"AUBG000177","Propolis 600mg/mL Liquid","KG"
"AUBG000180","Nirvana Stevia 360mg Tablets","TABS"
"AUBG000181","Planetary Amla Plus 300mg","CAPS"
"AUBG000182","Kangaroo 2500mg Hard Shell","CAPS"
"AUBG000183","Baby Sheep 2500mg HS Capsules","CAPS"
"AUBG000186","Grape Seed 12000mg","CAPS"
"AUBG000187","Mutivitamin Tablet 800mg","TABS"
"AUBG000188","Propolis 1000mg Hard Shell","CAPS"
"AUBG000189","Royal Jelly 600mg AFW HS Cap","CAPS"
"AUBG000190","Baby Sheep 2500mg HS","CAPS"
"AUBG000192","Shark Cartilage 500mg HS","CAPS"
"AUBG000194","Kangaroo 2500mg HS Capsules","CAPS"
"AUBG000195","Multivitamin & Minerals Tablet","TABS"
"AUBG000196","Placenta 2,500mg HS Capsules","CAPS"
"AUBG000198","Colostrum 25mg IgG Tablets","TABS"
"AUBG000199","Kangaroo 6000mg HS Capsules","CAPS"
"AUBG000200","Natures Gold Shark Cartilage","CAPS"
"AUBG000201","Spirulina 500mg Tablet 725mg","TABS"
"AUBG000202","Chitosan 400mg Tablet 600mg","TABS"
"AUBG000203","Colostrum 25mg IgG Tablets","TABS"
"AUBG000207","Baby Sheep 5000mg HS","CAPS"
"AUBG000208","Goat' Milk with Colostrum","TABS"
"AUBG000209","Glucosamine 500mg Plus","TABS"
"AUBG000211","Colostrum 12mg IgG","TABS"
"AUBG000213","Shark Cartilage 500mg","CAPS"
"AUBG000214","Colostrum 10mg Tablets Round","TABS"
"AUBG000215","Calcium Enriched Colostrum","KG"
"AUBG000216","Propolis 200mg/mL Liquid","KG"
"AUBG000217","Super Nature Gingko 2,500mg","CAPS"
"AUBG000218","Propolis 250mg/mL Liquid with","KG"
"AUBG000220","Propolis 300mg/mL Liquid","KG"
"AUBG000221","GOAT LOGO Milk Tablets 250mg","TABS"
"AUBG000223","GOAT LOGO Milk Tablets 250mg","TABS"
"AUBG000225","RBK Shark Cartilage 500mg","CAPS"
"AUBG000226","Propolis 600mg/mL Liquid","KG"
"AUBG000227","GOAT LOGO Milk Tablets 250mg","TABS"
"AUBG000228","Propolis 200mg/mL Tincture","KG"
"AUBG000229","GOAT LOGO Milk Tablets 250mg","TABS"
"AUBG000230","Propolis 250mg/mL Tincture","KG"
"AUBG000232","Propolis 300mg/mL Tincture","KG"
"AUBG000234","Propolis 400mg/mL Tincture","KG"
"AUBG000235","Placenta 3,000mg Hard Shell","CAPS"
"AUBG000236","Propolis 500mg/mL Tincture","KG"
"AUBG000238","Propolis 600mg/mL Tincture","KG"
"AUBG000239","Kangaroo 2500mg Hard Shell","CAPS"
"AUBG000240","Propolis Lozenge (BULK)","TABS"
"AUBG000241","Kangaroo Group Arthritis","CAPS"
"AUBG000242","Colostrum 25mg IgG","TABS"
"AUBG000244","ABL/Opal Kangaroo 250mg &","CAPS"
"AUBG000247","Squalene Jube Mango","KG"
"AUBG000248","Mothernest (Standard)","CAPS"
"AUBG000249","ABL/OPAL Crocodile 1000mg","CAPS"
"AUBG000250","Colostrum 60mg IgG","CAPS"
"AUBG000251","Wheat Grass Powder","KG"
"AUBG000254","Gingko 3,000 mg Tablets","TABS"
"AUBG000255","Colostrum 75mg IgG Tablets","TABS"
"AUBG000258","Propolis 1000mg Hard Shell","CAPS"
"AUBG000260","Koda Cordymax Hard Shell","CAPS"
"AUBG000262","RBK Osteo Hard Shell Capsules","CAPS"
"AUBG000264","ABL St. John's Wort  HS","CAPS"
"AUBG000265","Barley Grass Powder","KG"
"AUBG000266","Colostrum 45mg IgG Tablets","TABS"
"AUBG000267","Homart Ginkgo 2000mg Tablets","TABS"
"AUBG000269","ABL Baby Sheep & Royal Jelly","CAPS"
"AUBG000270","Proudex Royal Jelly Hard Shell","CAPS"
"AUBG000271","Eucalyptus Propolis 400mg/mL","KG"
