Company,Item Code,Product Name,Quantity P/C
aaaaabbbbbcccccdddddeeeeeff,AUFP999997,AAAAAAAAAABBBBBBBBBBCCCCCCCCCCDDDDDDDDDDFFFFFFFFFFGGGGGGGGGG,100
Vida Glow,AUFP003843,Vida Glow Nature marine collagen (Original) 3g x 30,24x30
Vida Glow Collagen Elixir,AUFP003879,(Lemon Myrtle & Manuka Honey Flavour 30ml x10's),10
