TUN Type,Item Code,Product Name,PC Code,Quantity,Barcode,Gross Weight
Inner TUN,AUFP002262,Nature’s Way Fish Oil 1500mg 180+20,522783,2,29314807060729,N/A
Outer TUN,AUFP002262,Nature’s Way Fish Oil 1500mg 180+20,522783,8,19314807060722,4.36kg
Inner TUN,AUFP002263,Natures Way Fish Oil 1500mg 400s,522609,4,29314807053516,N/A
Outer TUN,AUFP002263,Natures Way Fish Oil 1500mg 400s,522609,8,19314807053519,8.75kg
